Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.00     38.36     0.00       32     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_fifo_out_if<Image_s>**, std::vector<sc_core::sc_fifo_out_if<Image_s>*, std::allocator<sc_core::sc_fifo_out_if<Image_s>*> > >::base() const
  0.00     38.36     0.00       32     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_fifo_out_if<Simage_s>**, std::vector<sc_core::sc_fifo_out_if<Simage_s>*, std::allocator<sc_core::sc_fifo_out_if<Simage_s>*> > >::base() const
  0.00     38.36     0.00       32     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_out_if<Image_s>*, std::allocator<sc_core::sc_fifo_out_if<Image_s>*> >::_M_get_Tp_allocator()
  0.00     38.36     0.00       32     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_out_if<Simage_s>*, std::allocator<sc_core::sc_fifo_out_if<Simage_s>*> >::_M_get_Tp_allocator()
  0.00     38.36     0.00       32     0.00     0.00  std::__miter_base<sc_core::sc_fifo_out_if<Image_s>**, false>::__b(sc_core::sc_fifo_out_if<Image_s>**)
  0.00     38.36     0.00       32     0.00     0.00  std::__miter_base<sc_core::sc_fifo_out_if<Simage_s>**, false>::__b(sc_core::sc_fifo_out_if<Simage_s>**)
  0.00     38.36     0.00       28     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_fifo_in_if<Simage_s>**, std::vector<sc_core::sc_fifo_in_if<Simage_s>*, std::allocator<sc_core::sc_fifo_in_if<Simage_s>*> > >::base() const
  0.00     38.36     0.00       28     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_in_if<Simage_s>*, std::allocator<sc_core::sc_fifo_in_if<Simage_s>*> >::_M_get_Tp_allocator()
  0.00     38.36     0.00       28     0.00     0.00  std::__miter_base<sc_core::sc_fifo_in_if<Simage_s>**, false>::__b(sc_core::sc_fifo_in_if<Simage_s>**)
  0.00     38.36     0.00       27     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_fifo_in_if<Image_s>*>::max_size() const
  0.00     38.36     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_fifo_out_if<Image_s>*>::max_size() const
  0.00     38.36     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_fifo_out_if<Simage_s>*>::max_size() const
  0.00     38.36     0.00       22     0.00     0.00  Gaussian_Kernel::make_gaussian_kernel(float, float*, int*)
  0.00     38.36     0.00       21     0.00    36.48  sc_core::sc_fifo_in<Fimage_s>::read(Fimage_s&)
  0.00     38.36     0.00       21     0.00    36.48  sc_core::sc_fifo<Fimage_s>::read(Fimage_s&)
  0.00     38.36     0.00       21     0.00     0.00  sc_core::sc_port_b<sc_core::sc_fifo_in_if<Fimage_s> >::operator->()
  0.00     38.36     0.00       21     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_fifo_in_if<Simage_s>*>::max_size() const
  0.00     38.36     0.00       20     0.00     0.00  Monitor::write_pgm_image(char const*, unsigned char*, int, int, char const*, int)
  0.00     38.36     0.00       20     0.00    13.50  sc_core::sc_fifo_out<Fimage_s>::write(Fimage_s const&)
  0.00     38.36     0.00       20     0.00    13.50  sc_core::sc_fifo<Fimage_s>::write(Fimage_s const&)
  0.00     38.36     0.00       20     0.00    38.31  sc_core::sc_fifo<Fimage_s>::buf_read(Fimage_s&)
  0.00     38.36     0.00       20     0.00    13.50  sc_core::sc_fifo<Fimage_s>::buf_write(Fimage_s const&)
  0.00     38.36     0.00       20     0.00     0.00  sc_core::sc_port_b<sc_core::sc_fifo_out_if<Fimage_s> >::operator->()
  0.00     38.36     0.00       20     0.00     0.00  Stimulus::read_pgm_image(char const*, unsigned char*, int, int)
  0.00     38.36     0.00       20     0.00     0.00  sc_core::sc_fifo<Fimage_s>::num_free() const
  0.00     38.36     0.00       18     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_fifo_in_if<Image_s>**, std::vector<sc_core::sc_fifo_in_if<Image_s>*, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> > >::__normal_iterator(sc_core::sc_fifo_in_if<Image_s>** const&)
  0.00     38.36     0.00       18     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_in_if<Image_s>*, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> >::_M_get_Tp_allocator() const
  0.00     38.36     0.00       18     0.00     0.00  std::vector<sc_core::sc_fifo_in_if<Image_s>*, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> >::max_size() const
  0.00     38.36     0.00       18     0.00     0.00  sc_core::sc_fifo_in_if<Image_s>** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<sc_core::sc_fifo_in_if<Image_s>*>(sc_core::sc_fifo_in_if<Image_s>* const*, sc_core::sc_fifo_in_if<Image_s>* const*, sc_core::sc_fifo_in_if<Image_s>**)
  0.00     38.36     0.00       18     0.00     0.00  void std::_Destroy_aux<true>::__destroy<sc_core::sc_fifo_in_if<Image_s>**>(sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>**)
  0.00     38.36     0.00       18     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_in_if<Image_s>*, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> >::_M_deallocate(sc_core::sc_fifo_in_if<Image_s>**, unsigned long)
  0.00     38.36     0.00       18     0.00     0.00  sc_core::sc_fifo_in_if<Image_s>** std::__uninitialized_copy<true>::uninitialized_copy<sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>**>(sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>**)
  0.00     38.36     0.00       18     0.00     0.00  sc_core::sc_fifo_in_if<Image_s>** std::__copy_move_a<false, sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>**>(sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>**)
  0.00     38.36     0.00       18     0.00     0.00  sc_core::sc_fifo_in_if<Image_s>** std::__copy_move_a2<false, sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>**>(sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>**)
